Entry,Titel,Dag,DAG,Maand,MAAND,Jaar,URL_full,URL_cut_out,keywords
54,Leeuwarder courant,29,29,07,7,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585992:mpeg21:p008:image&coords=ddd:010585992:mpeg21:p008:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585992:mpeg21:p008:image&coords=ddd:010585992:mpeg21:p008:alto&w=1000&colour=fefe56&s=1.1628583057154&x=3244&h=2000&y=436,"['hypothe*', 'Ie', 'le']"
55,Leeuwarder courant,31,31,07,7,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585993:mpeg21:p004:image&coords=ddd:010585993:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585993:mpeg21:p004:image&coords=ddd:010585993:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.1035700491089&x=2085&h=2000&y=2829,"['eerste*', 'hypothe*', 'hypothe*b*', 'Hypothe*r', 'Ie', 'le', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
56,Leeuwarder courant,31,31,07,7,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585993:mpeg21:p006:image&coords=ddd:010585993:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585993:mpeg21:p006:image&coords=ddd:010585993:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0984786071291&x=2064&h=2000&y=3277,"['eerste*', 'hypothe*', 'le', 'onderpa*', 'Pandbrie*', 'soli*d*']"
57,Leeuwarder courant,02,2,08,8,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585994:mpeg21:p004:image&coords=ddd:010585994:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585994:mpeg21:p004:image&coords=ddd:010585994:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.1614401858304&x=3242&h=2000&y=1203,"['hypothe*', 'lste']"
58,Leeuwarder courant,07,7,08,8,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585996:mpeg21:p004:image&coords=ddd:010585996:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585996:mpeg21:p004:image&coords=ddd:010585996:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.1178180192265&x=3123&h=2000&y=-556,"['eerste*', 'hypothe*', 'Hypothe*r', 'le', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
59,Leeuwarder courant,09,9,08,8,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585997:mpeg21:p005:image&coords=ddd:010585997:mpeg21:p005:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585997:mpeg21:p005:image&coords=ddd:010585997:mpeg21:p005:alto&w=1000&colour=fefe56&s=1.0921799912626&x=2057&h=2000&y=1971,"['eerste*', 'hypothe*', 'le', 'notaris']"
60,Leeuwarder courant,30,30,08,8,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586006:mpeg21:p003:image&coords=ddd:010586006:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586006:mpeg21:p003:image&coords=ddd:010586006:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.0737102056155&x=2918&h=2000&y=2998,"['onderpa*', 'Pandbrie*', 'soli*d*']"
61,Leeuwarder courant,30,30,08,8,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586006:mpeg21:p004:image&coords=ddd:010586006:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586006:mpeg21:p004:image&coords=ddd:010586006:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.1994722322178&x=3404&h=2000&y=3920,"['b*sch*kba*r', 'hypoth*', 'hypothe*', 'le', 'lste']"
62,Leeuwarder courant,09,9,09,9,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586010:mpeg21:p004:image&coords=ddd:010586010:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586010:mpeg21:p004:image&coords=ddd:010586010:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.1572065035005&x=3266&h=2000&y=954,"['gevr*g*', 'rente*', 'tegen']"
63,Leeuwarder courant,16,16,09,9,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586013:mpeg21:p008:image&coords=ddd:010586013:mpeg21:p008:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586013:mpeg21:p008:image&coords=ddd:010586013:mpeg21:p008:alto&w=1000&colour=fefe56&s=1.0946907498632&x=2105&h=2000&y=1211,"['eerste*', 'gevr*g*', 'hypothe*', 'rente*', 'tegen']"
