Entry,Titel,Dag,DAG,Maand,MAAND,Jaar,URL_full,URL_cut_out,keywords
91,Provinciale Overijsselsche en Zwolsche courant,25,25,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065539:mpeg21:p004:image&coords=MMHCO01:000065539:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065539:mpeg21:p004:image&coords=MMHCO01:000065539:p004:alto&w=1000&colour=fefe56&s=0.48690232739312&x=112&h=2000&y=-583,"['eerste*', 'hypothe*', 'Ie']"
92,Provinciale Overijsselsche en Zwolsche courant,26,26,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065540:mpeg21:p004:image&coords=MMHCO01:000065540:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065540:mpeg21:p004:image&coords=MMHCO01:000065540:p004:alto&w=1000&colour=fefe56&s=0.48246248854152&x=84&h=2000&y=-326,"['eerste*', 'hypothe*', 'Ie']"
93,Provinciale Overijsselsche en Zwolsche courant,02,2,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065543:mpeg21:p004:image&coords=MMHCO01:000065543:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065543:mpeg21:p004:image&coords=MMHCO01:000065543:p004:alto&w=1000&colour=fefe56&s=0.96688421561518&x=224&h=2000&y=-863,"['hypothe*', 'hypothe*b*', 'Ie', 'le']"
94,Provinciale Overijsselsche en Zwolsche courant,02,2,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065543:mpeg21:p004:image&coords=MMHCO01:000065543:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065543:mpeg21:p004:image&coords=MMHCO01:000065543:p004:alto&w=1000&colour=fefe56&s=0.48765025723551&x=600&h=2000&y=-731,"['b*sch*kba*r', 'hypoth*']"
95,Provinciale Overijsselsche en Zwolsche courant,07,7,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065547:mpeg21:p003:image&coords=MMHCO01:000065547:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065547:mpeg21:p003:image&coords=MMHCO01:000065547:p003:alto&w=1000&colour=fefe56&s=0.91751536838242&x=1854&h=2000&y=-77,"['hypothe*', 'Ie']"
96,Provinciale Overijsselsche en Zwolsche courant,08,8,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065548:mpeg21:p004:image&coords=MMHCO01:000065548:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065548:mpeg21:p004:image&coords=MMHCO01:000065548:p004:alto&w=1000&colour=fefe56&s=0.94953235531501&x=233&h=2000&y=1433,"['gevr*g*', 'gez*ht', 'rente*', 'tegen']"
97,Provinciale Overijsselsche en Zwolsche courant,17,17,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065555:mpeg21:p004:image&coords=MMHCO01:000065555:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065555:mpeg21:p004:image&coords=MMHCO01:000065555:p004:alto&w=1000&colour=fefe56&s=0.48003072196621&x=591&h=2000&y=-672,"['eerste*', 'gez*ht', 'hypothe*', 'Hypothe*r', 'rente*', 'tegen', 'verban*']"
98,Provinciale Overijsselsche en Zwolsche courant,22,22,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065559:mpeg21:p004:image&coords=MMHCO01:000065559:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065559:mpeg21:p004:image&coords=MMHCO01:000065559:p004:alto&w=1000&colour=fefe56&s=0.90789413954333&x=144&h=2000&y=601,"['eerste*', 'hypothe*']"
99,Provinciale Overijsselsche en Zwolsche courant,26,26,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065563:mpeg21:p004:image&coords=MMHCO01:000065563:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065563:mpeg21:p004:image&coords=MMHCO01:000065563:p004:alto&w=1000&colour=fefe56&s=0.48393341076268&x=115&h=2000&y=-528,"['eerste*', 'hypothe*', 'lste']"
100,Provinciale Overijsselsche en Zwolsche courant,28,28,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065564:mpeg21:p004:image&coords=MMHCO01:000065564:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065564:mpeg21:p004:image&coords=MMHCO01:000065564:p004:alto&w=1000&colour=fefe56&s=0.48740069210898&x=101&h=2000&y=141,"['hypothe*', 'lste']"
101,Provinciale Overijsselsche en Zwolsche courant,29,29,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065565:mpeg21:p004:image&coords=MMHCO01:000065565:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065565:mpeg21:p004:image&coords=MMHCO01:000065565:p004:alto&w=1000&colour=fefe56&s=0.4733503739468&x=68&h=2000&y=-533,"['hypothe*', 'lste']"
